	Domain	Phylum	Class	Order	Family	Genus	Species
364334 Akkermansia muciniphila	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia muciniphila
207582 Faecalibacterium prausnitzii	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
263138 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
2168897 Lactobacillus salivarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
258659 Desulfosporosinus meridiei	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	Desulfosporosinus meridiei
260529 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
173845 Streptomyces ahygroscopicus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces ahygroscopicus
131391 Bifidobacterium pseudolongum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum
170998 Staphylococcus sciuri	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri
344525 Bacteroides eggerthii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii
271191 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
356403 Clostridium hiranonis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium hiranonis
301584 Fibrobacter succinogenes	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes
174066 [Eubacterium] biforme	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	[Eubacterium]	[Eubacterium] biforme
35880 Pseudomonas veronii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii
318047 Lactobacillus reuteri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
1833543 Bacteroides ovatus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
328755 Pleomorphomonas oryzae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	Pleomorphomonas oryzae
319214 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
340133 Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
4462474 Paracoccus zeaxanthinifaciens	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus zeaxanthinifaciens
4440404 Neisseria cinerea	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria cinerea
166292 Plesiomonas shigelloides	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
308224 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
263193 Pseudomonas pseudoalcaligenes	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas pseudoalcaligenes
219149 Staphylococcus sciuri	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri
355262 Bacteroides ovatus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
4341595 Listeria monocytogenes	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
264702 Bacillus flexus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus flexus
195474 Lysinibacillus boronitolerans	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	Lysinibacillus boronitolerans
2730947 Bacteroides barnesiae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides barnesiae
3401807 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
208399 Trabulsiella farmeri	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Trabulsiella	Trabulsiella farmeri
259985 Methylibium petroleiphilum	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium	Methylibium petroleiphilum
549754 Actinomadura vinacea	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	Actinomadura vinacea
975413 Propionibacterium acnes	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes
3696710 Blautia producta	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia producta
214234 Faecalibacterium prausnitzii	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
3245667 Vitis vinifera	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	Vitis	Vitis vinifera
338916 Rhizobium giardinii	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium giardinii
338852 Lactobacillus reuteri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
1059977 Streptococcus agalactiae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
164066 Staphylococcus sciuri	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri
258553 Candidatus Methylacidiphilum	Bacteria	Verrucomicrobia	[Methylacidiphilae]	Methylacidiphilales	Methylacidiphilaceae	Candidatus	Methylacidiphilum	Methylacidiphilum infernorum
204086 Nocardiopsis lucentensis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis lucentensis
2429140 Sphingomonas wittichii	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas wittichii
313305 Leptospirillum ferrodiazotrophum	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	[Leptospirillaceae]	Leptospirillum	Leptospirillum ferrodiazotrophum
353340 Bradyrhizobium elkanii	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
263449 Erwinia chrysanthemi	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	Erwinia chrysanthemi
276567 Staphylococcus equorum	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
269774 Psychrobacter pulmonis	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter pulmonis
311039 Microbacterium maritypicum	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium maritypicum
4423978 Weissella oryzae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella oryzae
1096270 Staphylococcus aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
336731 Cupriavidus gilardii	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Cupriavidus	Cupriavidus gilardii
273776 [Ruminococcus] gnavus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	[Ruminococcus] gnavus
4457603 Dorea formicigenerans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans
4432437 Catenuloplanes indicus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Catenuloplanes	Catenuloplanes indicus
867346 Haemophilus parainfluenzae	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
194689 Streptomyces netropsis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces netropsis
2704718 Gloeocapsopsis crepidinum	Bacteria	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Xenococcaceae	Gloeocapsopsis	Gloeocapsopsis crepidinum
